"evento","termino","rango","frecuencia"
"tiroteo_persecucion","building",2014-01-23 20:00:00,2
"tiroteo_persecucion","car",2014-01-23 19:15:00,3
"tiroteo_persecucion","car",2014-01-23 20:00:00,2
"tiroteo_persecucion","car",2014-01-23 21:00:00,1
"tiroteo_persecucion","car",2014-01-23 21:15:00,1
"tiroteo_persecucion","check",2014-01-23 19:30:00,1
"tiroteo_persecucion","control",2014-01-23 19:30:00,2
"tiroteo_persecucion","cop",2014-01-23 19:30:00,28
"tiroteo_persecucion","cop",2014-01-23 19:45:00,13
"tiroteo_persecucion","cop",2014-01-23 20:15:00,8
"tiroteo_persecucion","cop",2014-01-23 21:00:00,1
"tiroteo_persecucion","cop",2014-01-23 21:15:00,1
"tiroteo_persecucion","crime",2014-01-23 19:15:00,1
"tiroteo_persecucion","crime",2014-01-23 19:30:00,2
"tiroteo_persecucion","crime",2014-01-23 19:45:00,5
"tiroteo_persecucion","crime",2014-01-23 20:00:00,1
"tiroteo_persecucion","crime",2014-01-23 21:15:00,2
"tiroteo_persecucion","danger",2014-01-23 19:30:00,2
"tiroteo_persecucion","department",2014-01-23 19:15:00,8
"tiroteo_persecucion","department",2014-01-23 19:30:00,2
"tiroteo_persecucion","department",2014-01-23 19:45:00,4
"tiroteo_persecucion","dispatched",2014-01-23 19:15:00,1
"tiroteo_persecucion","dispatched",2014-01-23 19:30:00,5
"tiroteo_persecucion","dispatched",2014-01-23 19:45:00,3
"tiroteo_persecucion","driver",2014-01-23 19:15:00,3
"tiroteo_persecucion","driver",2014-01-23 19:30:00,15
"tiroteo_persecucion","driver",2014-01-23 20:15:00,4
"tiroteo_persecucion","emergency",2014-01-23 19:30:00,2
"tiroteo_persecucion","felony",2014-01-23 19:15:00,3
"tiroteo_persecucion","felony",2014-01-23 19:30:00,1
"tiroteo_persecucion","fire",2014-01-23 19:15:00,1
"tiroteo_persecucion","fire",2014-01-23 19:30:00,14
"tiroteo_persecucion","fire",2014-01-23 19:45:00,3
"tiroteo_persecucion","fire",2014-01-23 20:00:00,1
"tiroteo_persecucion","fire",2014-01-23 20:15:00,8
"tiroteo_persecucion","floor",2014-01-23 19:30:00,2
"tiroteo_persecucion","floor",2014-01-23 20:00:00,1
"tiroteo_persecucion","gun",2014-01-23 19:30:00,12
"tiroteo_persecucion","gun",2014-01-23 19:45:00,7
"tiroteo_persecucion","gun",2014-01-23 20:15:00,5
"tiroteo_persecucion","gun",2014-01-23 21:00:00,2
"tiroteo_persecucion","hazaradous",2014-01-23 19:30:00,1
"tiroteo_persecucion","helping",2014-01-23 19:30:00,1
"tiroteo_persecucion","helping",2014-01-23 20:00:00,1
"tiroteo_persecucion","hit",2014-01-23 19:15:00,27
"tiroteo_persecucion","hit",2014-01-23 19:30:00,16
"tiroteo_persecucion","hit",2014-01-23 19:45:00,1
"tiroteo_persecucion","hospital",2014-01-23 19:45:00,2
"tiroteo_persecucion","hospital",2014-01-23 20:00:00,7
"tiroteo_persecucion","hostage",2014-01-23 19:30:00,2
"tiroteo_persecucion","hostage",2014-01-23 19:45:00,10
"tiroteo_persecucion","hostage",2014-01-23 20:00:00,14
"tiroteo_persecucion","hostage",2014-01-23 20:15:00,1
"tiroteo_persecucion","hostage",2014-01-23 21:15:00,1
"tiroteo_persecucion","hurt",2014-01-23 19:30:00,1
"tiroteo_persecucion","hurt",2014-01-23 19:45:00,1
"tiroteo_persecucion","hurt",2014-01-23 20:30:00,1
"tiroteo_persecucion","incident",2014-01-23 19:15:00,2
"tiroteo_persecucion","incident",2014-01-23 19:45:00,1
"tiroteo_persecucion","incident",2014-01-23 20:00:00,3
"tiroteo_persecucion","intersection",2014-01-23 19:30:00,8
"tiroteo_persecucion","intersection",2014-01-23 20:00:00,1
"tiroteo_persecucion","intersection",2014-01-23 20:30:00,9
"tiroteo_persecucion","investigation",2014-01-23 19:15:00,1
"tiroteo_persecucion","investigation",2014-01-23 19:45:00,1
"tiroteo_persecucion","investigation",2014-01-23 20:00:00,1
"tiroteo_persecucion","investigation",2014-01-23 21:15:00,2
"tiroteo_persecucion","license",2014-01-23 19:15:00,7
"tiroteo_persecucion","location",2014-01-23 19:45:00,1
"tiroteo_persecucion","location",2014-01-23 20:00:00,1
"tiroteo_persecucion","location",2014-01-23 21:15:00,2
"tiroteo_persecucion","medics",2014-01-23 19:15:00,1
"tiroteo_persecucion","medics",2014-01-23 19:30:00,2
"tiroteo_persecucion","officer",2014-01-23 19:30:00,17
"tiroteo_persecucion","officer",2014-01-23 19:45:00,13
"tiroteo_persecucion","officer",2014-01-23 20:00:00,7
"tiroteo_persecucion","official",2014-01-23 19:45:00,2
"tiroteo_persecucion","peaceful",2014-01-23 20:00:00,5
"tiroteo_persecucion","peaceful",2014-01-23 21:15:00,8
"tiroteo_persecucion","perimeter",2014-01-23 20:00:00,2
"tiroteo_persecucion","police",2014-01-23 19:15:00,8
"tiroteo_persecucion","police",2014-01-23 19:30:00,59
"tiroteo_persecucion","police",2014-01-23 19:45:00,27
"tiroteo_persecucion","police",2014-01-23 20:00:00,29
"tiroteo_persecucion","police",2014-01-23 20:15:00,17
"tiroteo_persecucion","police",2014-01-23 20:30:00,10
"tiroteo_persecucion","police",2014-01-23 20:45:00,1
"tiroteo_persecucion","police",2014-01-23 21:00:00,1
"tiroteo_persecucion","police",2014-01-23 21:15:00,4
"tiroteo_persecucion","progress",2014-01-23 19:15:00,2
"tiroteo_persecucion","progress",2014-01-23 19:30:00,2
"tiroteo_persecucion","pursuit",2014-01-23 19:30:00,23
"tiroteo_persecucion","rally",2014-01-23 19:30:00,2
"tiroteo_persecucion","rally",2014-01-23 20:45:00,1
"tiroteo_persecucion","release",2014-01-23 21:15:00,2
"tiroteo_persecucion","request",2014-01-23 19:15:00,1
"tiroteo_persecucion","request",2014-01-23 19:45:00,1
"tiroteo_persecucion","request",2014-01-23 20:00:00,1
"tiroteo_persecucion","request",2014-01-23 21:15:00,2
"tiroteo_persecucion","run",2014-01-23 19:15:00,10
"tiroteo_persecucion","run",2014-01-23 19:30:00,16
"tiroteo_persecucion","run",2014-01-23 19:45:00,3
"tiroteo_persecucion","run",2014-01-23 20:30:00,2
"tiroteo_persecucion","run",2014-01-23 21:00:00,1
"tiroteo_persecucion","safe",2014-01-23 19:15:00,1
"tiroteo_persecucion","safe",2014-01-23 20:00:00,2
"tiroteo_persecucion","safe",2014-01-23 21:15:00,5
"tiroteo_persecucion","scene",2014-01-23 19:15:00,1
"tiroteo_persecucion","scene",2014-01-23 19:30:00,6
"tiroteo_persecucion","scene",2014-01-23 19:45:00,32
"tiroteo_persecucion","scene",2014-01-23 20:00:00,16
"tiroteo_persecucion","scene",2014-01-23 21:15:00,2
"tiroteo_persecucion","shoot",2014-01-23 19:45:00,1
"tiroteo_persecucion","shoot",2014-01-23 20:00:00,3
"tiroteo_persecucion","shot",2014-01-23 19:30:00,12
"tiroteo_persecucion","shot",2014-01-23 19:45:00,7
"tiroteo_persecucion","shot",2014-01-23 20:00:00,1
"tiroteo_persecucion","stand",2014-01-23 19:45:00,4
"tiroteo_persecucion","stand",2014-01-23 20:00:00,1
"tiroteo_persecucion","stand",2014-01-23 20:45:00,1
"tiroteo_persecucion","stand",2014-01-23 21:15:00,20
"tiroteo_persecucion","street",2014-01-23 19:15:00,1
"tiroteo_persecucion","street",2014-01-23 19:30:00,4
"tiroteo_persecucion","street",2014-01-23 20:00:00,3
"tiroteo_persecucion","street",2014-01-23 20:30:00,2
"tiroteo_persecucion","suspicious",2014-01-23 19:15:00,4
"tiroteo_persecucion","suspicious",2014-01-23 19:30:00,7
"tiroteo_persecucion","swat",2014-01-23 19:30:00,1
"tiroteo_persecucion","swat",2014-01-23 19:45:00,14
"tiroteo_persecucion","swat",2014-01-23 20:00:00,24
"tiroteo_persecucion","swat",2014-01-23 20:30:00,2
"tiroteo_persecucion","swat",2014-01-23 20:45:00,3
"tiroteo_persecucion","tactical",2014-01-23 19:45:00,3
"tiroteo_persecucion","tactical",2014-01-23 20:00:00,7
"tiroteo_persecucion","unit",2014-01-23 19:30:00,3
"tiroteo_persecucion","unit",2014-01-23 19:45:00,3
"tiroteo_persecucion","unit",2014-01-23 20:00:00,2
"tiroteo_persecucion","vehicle",2014-01-23 19:15:00,9
"tiroteo_persecucion","vehicle",2014-01-23 19:30:00,9
"tiroteo_persecucion","vehicle",2014-01-23 19:45:00,1
"tiroteo_persecucion","vehicle",2014-01-23 21:15:00,1
"tiroteo_persecucion","wanted",2014-01-23 19:30:00,1
"tiroteo_persecucion","wanted",2014-01-23 20:00:00,2
"tiroteo_persecucion","wild",2014-01-23 20:15:00,8
"tiroteo_persecucion","window",2014-01-23 19:30:00,1
"tiroteo_persecucion","window",2014-01-23 20:15:00,2
"tiroteo_persecucion","witness",2014-01-23 20:15:00,16
